country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,117000000,238000000,117000000,241000000,309000000,379000000,350000000,268000000,186000000,166000000,159000000,234000000,270000000,243000000,195000000,236000000,241000000,261000000,205000000,241000000,64100000,52200000,24100000,35200000,17500000,40700000,5740000,84300000,124000000,245000000,188000000,722000000,289000000,320000000,317000000,259000000,209000000,314000000,227000000,201000000,206000000,648000000,1720000000,1900000000,2590000000,3200000000,3190000000,5040000000,4780000000,6260000000,6240000000,6430000000,6320000000,4860000000,4680000000,4340000000,4140000000,3810000000,3650000000
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8790000,17000000,15400000,438000000,539000000,385000000,213000000,216000000,279000000,221000000,361000000,669000000,469000000,405000000,435000000,424000000,338000000,340000000,343000000,295000000,324000000,325000000,339000000,330000000,321000000,243000000,251000000,335000000,174000000,168000000,325000000
Algeria,3030000000,3620000000,3070000000,2070000000,1600000000,1020000000,842000000,711000000,764000000,819000000,760000000,726000000,562000000,537000000,509000000,794000000,469000000,385000000,485000000,241000000,425000000,417000000,359000000,235000000,348000000,494000000,345000000,366000000,277000000,263000000,450000000,279000000,465000000,439000000,395000000,346000000,362000000,328000000,562000000,190000000,299000000,311000000,273000000,289000000,342000000,366000000,243000000,360000000,277000000,268000000,184000000,169000000,137000000,184000000,140000000,72400000,148000000,175000000,136000000
Angola,-390000,266000000,,240000,,12100000,28500000,174000000,80000,-1000000,-410000,-70000,640000,980000,1600000,17300000,57700000,148000000,121000000,104000000,110000000,135000000,144000000,189000000,248000000,236000000,269000000,232000000,257000000,278000000,381000000,387000000,442000000,417000000,614000000,525000000,580000000,491000000,466000000,539000000,441000000,426000000,579000000,609000000,1280000000,451000000,180000000,257000000,343000000,238000000,228000000,184000000,233000000,266000000,218000000,399000000,212000000,223000000,154000000
Antigua and Barbuda,,,,,,,,,,,,,,40000,13900000,7930000,11100000,17300000,10700000,8530000,12400000,20200000,11200000,7700000,5440000,6470000,9960000,10100000,14100000,6830000,6480000,9490000,6310000,4190000,5580000,2720000,4690000,5560000,12000000,11300000,12700000,10700000,15400000,6110000,1830000,8040000,3310000,4680000,5190000,3950000,17200000,12000000,1810000,1460000,2330000,1620000,-190000,9920000,16100000
Argentina,263000000,405000000,331000000,202000000,-82100000,-483000000,-103000000,68300000,-27600000,94100000,-30300000,27900000,5960000,58300000,61900000,41200000,47900000,48800000,40800000,62100000,92000000,85400000,72700000,85100000,83400000,99900000,140000000,133000000,220000000,320000000,233000000,363000000,324000000,339000000,215000000,158000000,145000000,125000000,90600000,92600000,83300000,238000000,145000000,145000000,105000000,99500000,118000000,86900000,111000000,104000000,116000000,86400000,165000000,32700000,44300000,-18800000,3160000,-1170000,67700000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4060000,34300000,164000000,273000000,275000000,377000000,219000000,261000000,282000000,299000000,301000000,405000000,309000000,294000000,192000000,233000000,358000000,290000000,385000000,306000000,353000000,255000000,258000000,242000000,360000000,343000000,256000000,131000000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380000,9640000,32400000,205000000,146000000,119000000,241000000,161000000,225000000,182000000,289000000,439000000,354000000,201000000,230000000,217000000,210000000,208000000,207000000,152000000,243000000,237000000,-65900000,198000000,71800000,78400000,124000000,81300000
Bahamas,-370000,,,140000,480000,540000,360000,4310000,390000,500000,490000,1490000,6750000,2180000,2110000,2380000,2060000,1480000,2250000,2160000,3120000,3190000,3180000,2160000,22300000,1720000,3400000,1110000,2310000,6700000,4530000,3850000,3730000,1520000,1270000,5500000,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,670000,8400000,11600000,5450000,4780000,6840000,65500000,370000,1720000,1030000,5910000,26400000,14600000,63400000,151000000,91400000,554000000,151000000,230000000,326000000,460000000,451000000,365000000,599000000,506000000,176000000,195000000,14700000,-4380000,-3880000,197000000,130000000,105000000,149000000,122000000,114000000,160000000,194000000,264000000,80300000,81200000,100000000,84300000,160000000,64900000,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,117000000,1130000000,1850000000,2120000000,3770000000,1670000000,2440000000,2640000000,2730000000,2740000000,2420000000,3060000000,2300000000,2640000000,2320000000,2470000000,2680000000,2110000000,2280000000,2520000000,2250000000,1970000000,1550000000,1780000000,1170000000,1150000000,1120000000,1290000000,1320000000,1290000000,1300000000,1090000000,1530000000,1560000000,1340000000,1060000000,1220000000,1610000000,1040000000,1260000000,1280000000,1930000000,2390000000,2210000000,2630000000,2550000000,3780000000,2950000000
Barbados,,,,,,,11400000,3910000,5960000,8910000,14800000,26800000,24900000,21200000,14500000,15300000,18800000,14900000,26200000,16600000,15600000,23900000,20100000,35700000,12800000,14100000,9430000,8640000,3210000,1540000,3010000,3030000,1390000,6950000,3710000,310000,6740000,7660000,23000000,-950000,2820000,-180000,6420000,25600000,32700000,-760000,-480000,17400000,8290000,10800000,14200000,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64100000,80300000,83200000,99300000,94400000,132000000,106000000,96000000,97200000,107000000,108000000,-20500000,-250000000,111000000
Belize,16800000,25000000,45000000,34500000,10400000,15700000,18300000,41800000,42700000,50500000,40300000,30800000,21600000,23800000,28200000,32800000,44800000,32700000,53900000,52900000,29400000,23600000,27400000,33200000,32200000,46800000,48000000,43700000,42400000,47500000,46000000,32100000,36000000,44200000,43800000,23600000,26700000,17700000,18800000,56000000,23100000,31700000,29900000,15300000,7400000,12100000,8030000,21000000,21200000,24800000,22000000,18700000,24200000,48100000,33800000,28800000,35700000,34100000,31900000
Benin,180000,10800000,28500000,36300000,137000000,128000000,106000000,114000000,92000000,86900000,95800000,173000000,105000000,121000000,135000000,189000000,178000000,155000000,168000000,205000000,193000000,191000000,194000000,211000000,196000000,245000000,271000000,226000000,253000000,438000000,381000000,370000000,373000000,384000000,329000000,325000000,336000000,293000000,267000000,284000000,366000000,420000000,319000000,367000000,435000000,380000000,422000000,459000000,577000000,633000000,660000000,630000000,472000000,600000000,544000000,447000000,511000000,680000000,545000000
Bhutan,,,,110000,100000,1500000,420000,90000,1180000,790000,1640000,1000000,1180000,2930000,2500000,7940000,12100000,9690000,8780000,12400000,18600000,23000000,27000000,30300000,41100000,52500000,73600000,62700000,56900000,59100000,59600000,76700000,68600000,77400000,84200000,74600000,67500000,75800000,72300000,86100000,69400000,80900000,83100000,87700000,79800000,84800000,98200000,95300000,72300000,94000000,84900000,100000000,139000000,123000000,119000000,99900000,51800000,119000000,96800000
Bolivia,85500000,151000000,218000000,312000000,245000000,221000000,187000000,180000000,241000000,190000000,165000000,165000000,226000000,107000000,216000000,169000000,189000000,216000000,316000000,306000000,315000000,286000000,253000000,350000000,314000000,375000000,498000000,479000000,665000000,762000000,695000000,671000000,868000000,743000000,693000000,789000000,910000000,836000000,743000000,692000000,607000000,981000000,843000000,945000000,785000000,607000000,868000000,461000000,550000000,576000000,522000000,480000000,610000000,635000000,613000000,805000000,712000000,949000000,696000000
